Algorithm;Map-Filename;Path-Length;Visited-Cubes;Max-Queue-Size;Runtime;Found-Goal;Memory-Used;Count-Of-Memory-Allocations;Average-Allocation-Size
BFS;512x512_Map_3_Space_4.txt;4257.0;195380.0;5.0;4.904671530006453;1.0;24874.258203125;387606.9;65.71410475248817
BFS;512x512_Map_3_Space_8.txt;3291.0;205382.0;70.0;5.259086059965194;1.0;25295.296875;393822.4;65.7717388258718
BFS;512x512_Map_3_Space_16.txt;1971.0;192589.0;54.0;4.954190979991108;1.0;23978.78037109375;361704.5;67.88489263822518
BFS;512x512_Map_4_Space_1.txt;4987.0;102197.0;61.0;2.6126760100014508;1.0;12556.87333984375;194260.4;66.19073380345937
BFS;512x512_Map_4_Space_2.txt;3563.0;150609.0;77.0;3.6307135699782522;1.0;16755.91357421875;292713.7;58.61719346044663
BFS;512x512_Map_4_Space_4.txt;3763.0;197000.0;95.0;4.947094419971108;1.0;24862.220703125;386143.4;65.93124214792253
BFS;512x512_Map_4_Space_8.txt;2919.0;221865.0;32.0;5.65453282998642;1.0;26816.45869140625;430247.6;63.82383937249549
BFS;512x512_Map_4_Space_16.txt;3263.0;153830.0;108.0;3.951224559987895;1.0;17198.416796875;304466.0;57.84284225856449
BFS;512x512_Map_5_Space_1.txt;5455.0;106551.0;60.0;2.7078252499806696;1.0;13005.53525390625;205191.8;64.90351080668798
BFS;512x512_Map_5_Space_2.txt;3519.0;134622.0;68.0;3.2608668999979273;1.0;15461.3361328125;263282.1;60.13476879578103
BFS;512x512_Map_5_Space_4.txt;2881.0;197895.0;108.0;4.970446989999618;1.0;24937.355859375;388180.6;65.78343299130688
BFS;512x512_Map_5_Space_8.txt;2597.0;182904.0;94.0;4.663728909997735;1.0;23731.53857421875;360840.6;67.34579079274808
BFS;512x512_Map_5_Space_16.txt;2569.0;202122.0;50.0;5.20161953001516;1.0;25053.24462890625;388713.3;65.99857160819084
BFS;512x512_Map_6_Space_1.txt;6623.0;124767.0;12.0;3.176298789982684;1.0;14764.15107421875;247623.7;61.05429641057884
BFS;512x512_Map_6_Space_2.txt;4517.0;139344.0;78.0;3.378380709991325;1.0;15990.1060546875;276418.1;59.23587718901888
BFS;512x512_Map_6_Space_4.txt;2337.0;87132.0;53.0;2.175145800015889;1.0;12202.9513671875;194902.5;64.11319627061052
BFS;512x512_Map_6_Space_8.txt;3181.0;140382.0;75.0;3.5688522999873387;1.0;15470.23056640625;259352.6;61.08099984271214
BFS;512x512_Map_6_Space_16.txt;2331.0;236290.0;114.0;6.118351220001932;1.0;28170.21328125;462921.6;62.31357197832623
BFS;512x512_Map_7_Space_1.txt;5023.0;123432.0;33.0;3.1421542199677788;1.0;14621.70029296875;244414.5;61.25913612470892
BFS;512x512_Map_7_Space_2.txt;3909.0;137354.0;121.0;3.3203579499851914;1.0;15652.0015625;267227.1;59.97763552413384
BFS;512x512_Map_7_Space_4.txt;4729.0;92994.0;50.0;2.3201187400030903;1.0;11993.33505859375;183138.1;67.0596404366837
BFS;512x512_Map_7_Space_8.txt;3697.0;216804.0;47.0;5.504193259985186;1.0;26366.9193359375;419438.3;64.37114925719109
BFS;512x512_Map_7_Space_16.txt;2341.0;225331.0;63.0;5.806280970014631;1.0;26889.90791015625;430174.1;64.00958519927427
BFS;512x512_Map_8_Space_1.txt;4547.0;127183.0;20.0;3.233487209980376;1.0;14851.28486328125;249101.4;61.05030211947826
BFS;512x512_Map_8_Space_2.txt;3401.0;155717.0;93.0;3.7667131800204516;1.0;17442.447265625;310846.5;57.459440750107035
BFS;512x512_Map_8_Space_4.txt;2587.0;168013.0;126.0;4.208819119993132;1.0;22468.92646484375;331606.2;69.38404877413274
BFS;512x512_Map_8_Space_8.txt;4481.0;201011.0;34.0;5.131244040001183;1.0;25257.5509765625;395643.2;65.37135555891118
BFS;512x512_Map_8_Space_16.txt;2421.0;201191.0;2.0;5.172158669994678;1.0;24244.12294921875;363614.2;68.27561169542315
BFS;512x512_Map_9_Space_1.txt;4091.0;121857.0;45.0;3.089178550010547;1.0;14401.70654296875;238831.9;61.747813396068615
BFS;512x512_Map_9_Space_2.txt;4125.0;118496.0;81.0;2.8600468900054694;1.0;14414.4619140625;241637.5;61.08492686069776
BFS;512x512_Map_9_Space_4.txt;3305.0;112781.0;70.0;2.8112395600182936;1.0;13920.88017578125;230370.2;61.87858201446384
BFS;512x512_Map_9_Space_8.txt;2961.0;195108.0;120.0;4.985174549988005;1.0;24710.4287109375;382922.4;66.0799133464806
BFS;512x512_Map_9_Space_16.txt;5325.0;229372.0;34.0;5.884183499985374;1.0;27357.2169921875;441263.1;63.48545847179364
BFS;512x512_Map_10_Space_1.txt;6895.0;117967.0;18.0;2.9974203200195917;1.0;14151.988671875;232929.0;62.21482274557742
BFS;512x512_Map_10_Space_2.txt;3639.0;154528.0;79.0;3.733909379993565;1.0;17082.67197265625;300235.2;58.26317540825196
BFS;512x512_Map_10_Space_4.txt;3557.0;177038.0;90.0;4.426851819979492;1.0;23154.63896484375;346585.2;68.41131797708086
BFS;512x512_Map_10_Space_8.txt;2507.0;203958.0;75.0;5.182507419981993;1.0;25234.2232421875;393223.1;65.71293651573286
BFS;512x512_Map_10_Space_16.txt;3357.0;241362.0;63.0;6.188630330003798;1.0;28774.45078125;478173.9;61.61992034032956
DFS;512x512_Map_1_Space_1.txt;5171.0;56870.0;331.0;1.4205019199987874;1.0;6633.82177734375;104093.5;65.25924873394352
DFS;512x512_Map_1_Space_2.txt;4917.0;92482.0;3196.0;2.1545816500205546;1.0;11476.1470703125;166814.9;70.44696866687998
DFS;512x512_Map_1_Space_4.txt;6645.0;68607.0;5838.0;1.5599198200041429;1.0;8206.35888671875;145071.2;57.92545842486335
DFS;512x512_Map_1_Space_8.txt;6855.0;100635.0;6710.0;2.282061070005875;1.0;13450.29853515625;223312.2;61.67649796392391
DFS;512x512_Map_1_Space_16.txt;26493.0;119461.0;26261.0;2.638307300012093;1.0;13659.76845703125;210914.5;66.31890902982789
DFS;512x512_Map_2_Space_1.txt;4343.0;68462.0;285.0;1.7094002500060015;1.0;8258.150390625;147542.0;57.314857138163006
DFS;512x512_Map_2_Space_2.txt;5651.0;101331.0;3409.0;2.3662609499995595;1.0;12719.832421875;199798.0;65.19146048516077
DFS;512x512_Map_2_Space_4.txt;5891.0;68970.0;5243.0;1.5648708899854682;1.0;7488.77802734375;122043.1;62.83459203165438
DFS;512x512_Map_2_Space_8.txt;12755.0;174820.0;12366.0;3.954892409988679;1.0;22759.20888671875;332985.2;69.98942934442377
DFS;512x512_Map_2_Space_16.txt;18177.0;128142.0;18194.0;2.8576605000183917;1.0;14501.9630859375;233402.9;63.62398204219592
DFS;512x512_Map_3_Space_1.txt;4291.0;99092.0;249.0;2.4745932799763977;1.0;12100.84306640625;182001.5;68.08342942587356
DFS;512x512_Map_3_Space_2.txt;4991.0;74561.0;3125.0;1.739041870017536;1.0;8161.558984375;139734.5;59.809464349521804
DFS;512x512_Map_3_Space_4.txt;8537.0;113055.0;7337.0;2.5732170899864286;1.0;13764.42529296875;223557.6;63.04765906571462
DFS;512x512_Map_3_Space_8.txt;13405.0;174212.0;13075.0;3.941109279997181;1.0;23295.79033203125;350612.0;68.03789213246668
DFS;512x512_Map_3_Space_16.txt;14833.0;149031.0;14762.0;3.3489857299951837;1.0;16743.28369140625;290465.7;59.02633567642175
DFS;512x512_Map_4_Space_1.txt;4987.0;36439.0;297.0;0.9139770499896258;1.0;4954.486328125;65695.6;77.22749724593007
DFS;512x512_Map_4_Space_2.txt;4641.0;76323.0;2898.0;1.7735765799880028;1.0;8089.1828125;136239.3;60.79989617655478
DFS;512x512_Map_4_Space_4.txt;7465.0;138440.0;6671.0;3.1686742599820716;1.0;16336.3484375;287086.4;58.26964769167423
DFS;512x512_Map_4_Space_8.txt;11757.0;186529.0;11415.0;4.23538168000523;1.0;23996.1126953125;364163.3;67.47530825636242
DFS;512x512_Map_4_Space_16.txt;23561.0;104788.0;23567.0;2.298347470036242;1.0;12814.62646484375;195651.7;67.06917016465448
DFS;512x512_Map_5_Space_1.txt;5455.0;48983.0;324.0;1.2284915399970486;1.0;6151.26455078125;94425.6;66.70793327411374
DFS;512x512_Map_5_Space_2.txt;4617.0;39884.0;2833.0;0.9279808899969794;1.0;5372.11044921875;76621.5;71.79608875329828
DFS;512x512_Map_5_Space_4.txt;6221.0;58551.0;5360.0;1.3352339900098742;1.0;7592.22509765625;133167.0;58.381160863334365
DFS;512x512_Map_5_Space_8.txt;10287.0;149265.0;10110.0;3.3751695599989033;1.0;16273.01201171875;276377.6;60.29276455765762
DFS;512x512_Map_5_Space_16.txt;20565.0;72649.0;20098.0;1.584909459995106;1.0;8177.7685546875;137583.7;60.865110866104985
DFS;512x512_Map_6_Space_1.txt;6623.0;64945.0;386.0;1.6198543399688787;1.0;7178.47109375;115136.2;63.84419021478082
DFS;512x512_Map_6_Space_2.txt;5887.0;95161.0;3660.0;2.2314934800146147;1.0;12198.7185546875;187588.0;66.5901214336995
DFS;512x512_Map_6_Space_4.txt;4699.0;169761.0;4173.0;3.8979556199978105;1.0;22102.00966796875;317820.4;71.2115223458489
DFS;512x512_Map_6_Space_8.txt;12841.0;76104.0;12544.0;1.6968744699959644;1.0;8707.0392578125;153973.6;57.90611168431038
DFS;512x512_Map_6_Space_16.txt;17669.0;84850.0;17517.0;1.8725527600036003;1.0;10212.9380859375;128627.8;81.30525158976346
DFS;512x512_Map_7_Space_1.txt;5023.0;99955.0;286.0;2.507790719997138;1.0;12391.984765625;190520.6;66.60388103337053
DFS;512x512_Map_7_Space_2.txt;5095.0;95485.0;3159.0;2.236890740005765;1.0;12820.672265625;207589.5;63.24202314775963
DFS;512x512_Map_7_Space_4.txt;9877.0;61113.0;8470.0;1.37558432999067;1.0;7130.74501953125;115483.0;63.22925935169208
DFS;512x512_Map_7_Space_8.txt;15407.0;93242.0;15003.0;2.078035989985801;1.0;12452.09453125;194511.7;65.55369947973196
DFS;512x512_Map_7_Space_16.txt;19721.0;54647.0;19452.0;1.175059359986335;1.0;7021.713671875;114092.6;63.02124355316992
DFS;512x512_Map_8_Space_1.txt;4547.0;19692.0;289.0;0.4911014800076373;1.0;3723.209765625;39001.9;97.76248369593635
DFS;512x512_Map_8_Space_2.txt;4445.0;58292.0;2719.0;1.360178399994038;1.0;7330.0072265625;125467.3;59.823855653154894
DFS;512x512_Map_8_Space_4.txt;5213.0;119470.0;4742.0;2.7242593899951317;1.0;14213.1154296875;234159.8;62.15516220292268
DFS;512x512_Map_8_Space_8.txt;17991.0;177628.0;17385.0;4.016207269986626;1.0;23510.23994140625;353477.2;68.10763950329682
DFS;512x512_Map_8_Space_16.txt;19761.0;133760.0;19750.0;2.9833405300043525;1.0;14534.1759765625;229621.8;64.81532007215097
DFS;512x512_Map_9_Space_1.txt;4091.0;51907.0;258.0;1.2936100099468604;1.0;6305.95048828125;97618.8;66.1484289755101
DFS;512x512_Map_9_Space_2.txt;5431.0;60191.0;3294.0;1.4034895500168205;1.0;6911.302734375;110337.1;64.14161012000478
DFS;512x512_Map_9_Space_4.txt;7027.0;50858.0;6156.0;1.1411096600000747;1.0;6315.85537109375;97890.8;66.06821962328105
DFS;512x512_Map_9_Space_8.txt;12831.0;82691.0;12211.0;1.842917300015688;1.0;11027.3380859375;157742.3;71.58528873157348
